study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,completer,time,time_weeks,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,m_baseline_arm1,sd_baseline_arm1,n_baseline_arm1,m_baseline_arm2,sd_baseline_arm2,n_baseline_arm2,dich_type,event_arm1,event_arm2,totaln_arm1,totaln_arm2,.g,.g_se,condition_arm1.detail,condition_arm2.detail,condition_arm1.lumped_category,condition_arm1.intermediate_category,condition_arm1.meta_analysis,n_randomized_arm1,n_randomized_arm2,total_n_randomized,condition_arm1.psychotherapy_subclass,condition_arm1.treatment_description,condition_arm1.session_length,condition_arm1.frequency,condition_arm1.treatment_duration_detail,format,delivery_method,narrow_category,study_class,def_treatment_completion,percent_completed,psychotherapy_sessions_mean,psychotherapy_sessions_sd,psychotherapy_sessions_qual,military_status,percent_community,mean_age,country,female_percent,trauma_type,trauma_detail,rob_d1,rob_d2,rob_d3,rob_d4,rob_d5,rob,rob_numeric,arms_compared,year_added_to_ptsd_repository,intervention_group_ctr,design,outcome_assessment_type,statistical_analysis,g_data_source,precalc_g,precalc_g_se,intervention_group.arm1,intervention_group.arm2,year_added_to_repo,.id,ptsd_pubs_id,study_id,.log_rr,.log_rr_se,.event_arm1,.event_arm2,.totaln_arm1,.totaln_arm2,trtResponder,nTrt,ctrResponder,nCtr,logRR,seLogRR,logOR,seLogOR,full_ref
"McLay, 2011",Exposure Therapy,TAU,,,msd,CAPS,other,post,10,clinician,48.1,36.9,10,72.3,33.8,9,83.5,18.1,10,82.8,13.6,10,,,,,,0.6516267447,0.4726070059,Virtual reality exposure therapy (VRET),Treatment as usual (TAU),TF-CBT,Primarily exposure,Prim exposure,10,10,20,Trauma-focused,"Manualized treatment; initial sessions focused on rationale for therapy, meditation and attentional control with autonomic control using biofeedback (J&J Engineering Biofeedback system), skill practice during trauma recall, and discussion of PTSD symptoms; remaining sessions focused on exposure using virtual reality simulation with three-dimensional visual scenarios and relevant sounds, and cognitive restructuring conducted at the end of each session.",,Up to twice weekly,up to 20 sessions total,Individual,In Person,Exposure Therapy,Psychotherapy,,,8.8,,SD range 4 to 20,Active Duty Military,0,28.4,U.S.,0.05,Combat-related,NR,Low,Some Concerns,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,"Two-way ANOVA, chi-squared with Yates correction",Follow-up,0.652,0.474,A,B,2019,McLay_2011_precalcfromVA_CAPS_post_10.00_clinician_ExposureTherapy_TAU_NA_NA,36339,mclay2011,,,,,,,4,10,2,9,0.5877866649021192,0.7340905181848414,0.8472978603872037,1.029331729581776,"McLay RN, Wood DP, Webb-Murphy JA, et al. A randomized, controlled trial of virtual reality-graded exposure therapy for post-traumatic stress disorder in active duty service members with combat-related post-traumatic stress disorder. Cyberpsychol Behav Soc Netw. 2011 Apr;14(4):223-9. doi: 10.1089/cyber.2011.0003. PMID: 21332375."
"Miyahira, 2012",Exposure Therapy,Other,,,msd,CAPS,completer,post,5,clinician,58.9,23.29,10,71.17,25.41,12,72.2,17.07,10,75,19.29,12,,,,,,0.4822165966,0.4347914781,Virtual reality exposure therapy (VRET),Minimal attention,TF-CBT,Primarily exposure,Prim exposure,29,13,42,Trauma-focused,Manualized CBT treatment protocol with virtual reality exposure showing combat environment,,Twice weekly,,Individual,In Person,Exposure Therapy,Psychotherapy,,,,,,Active Duty Military,0,,U.S.,,Combat-related,NR,Some Concerns,High,High,High,Low,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,Repeated measures ANOVA,Follow-up,0.482,0.436,A,B,2019,Miyahira_2012_precalcfromVA_CAPS_post_5.00_clinician_ExposureTherapy_Other_NA_NA,43675,miyahira2012,,,,,,,2,10,1,12,0.8754687373539001,1.1474609652039,1.01160091167848,1.309927131908142,"Miyahira SD, Folen RA, Hoffman HG, et al. The effectiveness of VR exposure therapy for PTSD in returning warfighters. Stud Health Technol Inform. 2012;181:128-32.  PMID: 22954842."
"Monson, 2006",TF-Cognitive Therapy,Waitlist,,,dich,CAPS,itt,post,6,clinician,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS,12,1,30,30,1.61173581,0.5972120331,Cognitive Processing Therapy (CPT),Waitlist,TF-CBT,Primarily cognitive,TF-CT,30,30,60,Trauma-focused,"CPT according to Resick (2001), CBT with primary focus on cognitive interventions and includes exposure to traumatic memory through writing and reading accounts",,Twice weekly,,Individual,In Person,TF-Cognitive Therapy,Psychotherapy,,,,,,Veteran,0,54,U.S.,0.1,Other,"""military-related""",Low,Low,Low,Low,Low,Low,3,A vs B,2019,,ps-ct,,,,1.61173581,0.5972120331,A,,2019,Monson_2006_dich_CAPS_post_6.00_NA_TF-CognitiveTherapy_Waitlist_NA_NA,28862,monson2006,2.48490665,1.008298897,12,1,30,30,,,,,,,,,"Monson CM, Schnurr PP, Resick PA, et al. Cognitive processing therapy for veterans with military-related posttraumatic stress disorder. J Consult Clin Psychol. 2006 Oct;74(5):898-907. doi: 10.1037/0022-006X.74.5.898. PMID: 17032094."
"Monson, 2012a",TF-CBT,Waitlist,,,msd,CAPS,itt,post,12,clinician,33.45,21.431,16,60.82,22.729,19,68.87,14.241,20,73.03,14.391,20,,,,,,1.207453696,0.3700636426,Cognitive Behavioral Conjoint Therapy (CBCT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,20,20,80,Trauma-focused,"Includes 3 phases that include both in- and out-of-session exercises. Phase I: establishing rationale for therapy and relationship safety. Phase 2: Avoidance. Phase 3: Influence of trauma on relationship trust, control, emotional closeness, and physical intimacy",,"Twice weekly for phases 1 and 2, weekly during phase 3.",,Couple,In Person,TF-CBT,Psychotherapy,,,,,,Mixed,0.775,37.1,"U.S., Canada",0.75,Mixed,"rape/sexual assault, child sexual abuse, accidents, illness/medical procedure, combat-related, community/school violence, other (not specified)",Low,Low,Low,Low,Low,Low,3,A vs B,2019,B,ps-ct,Structured Clinical Interview,Least-squares means difference (estimated usng multilevel models) and independent samples t-test for change in mean scores,Follow-up,1.207,0.372,A,B,2019,Monson_2012a_precalcfromVA_CAPS_post_12.00_clinician_TF-CBT_Waitlist_NA_NA,39124,monson2012a,,,,,,,8,16,3,19,1.152679509938386,0.5858342379768913,1.673976433571672,0.8036375634160795,"Monson CM, Fredman SJ, Macdonald A, et al. Effect of cognitive-behavioral couple therapy for PTSD: a randomized controlled trial. JAMA. 2012 Aug 15;308(7):700-9. doi: 10.1001/jama.2012.9307. PMID: 22893167."
"Morath, 2014",NET,Waitlist,,,msd,CAPS,other,post,12,clinician,58.65,24.93,17,74.59,20.42,17,92.41,14.95,17,76.88,15.95,17,,,,,,0.6830019425,0.3533315574,Narrative Exposure Therapy (NET),Waitlist,TF-CBT,Primarily exposure,Prim exposure,17,17,34,Trauma-focused,Trauma-focused treatment according to Schauer et al. (2011),90 minutes,Weekly,,Individual,In Person,NET,Psychotherapy,,,,,,Community,1,30,Germany,0.7,Terrorism/political violence/forced displacement,NR,High,Low,Low,Low,Low,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,Linear mixed model for change in mean scores,Follow-up,0.683,0.354,A,B,2019,Morath_2014_precalcfromVA_CAPS_post_12.00_clinician_NET_Waitlist_NA_NA,49697,morath2014,,,,,,,5,17,1,17,1.6094379124341,1.040361927973371,1.897119984885881,1.16010057035299,"Morath J, Gola H, Sommershof A, et al. The effect of trauma-focused therapy on the altered T cell distribution in individuals with PTSD: evidence from a randomized controlled trial. J Psychiatr Res. 2014 Jul;54:1-10. doi: 10.1016/j.jpsychires.2014.03.016. PMID: 24726027."
"Mueser, 2008",TF-CBT,TAU,,,msd,CAPS,itt,post,,clinician,55.53,27.92,54,67.78,26.84,54,74.46,17.56,54,76.15,17.07,54,,,,,,0.4441473955,0.1948419952,Trauma-focused cognitive behavioral therapy (TF-CBT),Treatment as usual (TAU),TF-CBT,Mixed exposure/ cognitive,TF-CBT,54,54,108,Trauma-focused,"Program includes psychoeducation, breathing retraining, and cognitive restructuring",,,12 to 16 sessions total,Individual,In Person,TF-CBT,Psychotherapy,completed ≥6 sessions,0.8148,,,,Community,1,44.21,U.S.,0.787,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (not specified)",Low,Low,Some Concerns,Low,Low,Some Concerns,2,A vs B,2019,B,ps-ct,Structured Clinical Interview,Covariance pattern models,Follow-up,0.444,0.195,A,B,2019,Mueser_2008_precalcfromVA_CAPS_post_NA_clinician_TF-CBT_TAU_NA_NA,30794,mueser2008,,,,,,,14,54,7,54,0.6931471805599453,0.4210091177738046,0.8544153281560676,0.5104530439035456,"Mueser KT, Rosenberg SD, Xie HY, et al. A randomized controlled trial of cognitive-behavioral treatment for posttraumatic stress disorder in severe mental illness. J Consult Clin Psychol. 2008 Apr;76(2):259-71. doi: 10.1037/0022-006X.76.2.259. PMID: 18377122."
"Neuner, 2010",NET,TAU,,,msd,PDS,itt,post,,self-report,26,9.2,14,34.1,6.1,16,38.9,6.4,16,36.9,8,16,,,,,,1.024026042,0.3903718299,Narrative Exposure Therapy (NET),Treatment as usual (TAU),TF-CBT,Primarily exposure,Prim exposure,16,16,32,Trauma-focused,Intervention according to manual by Schauer et al. (2005) containing psychoeducation and participants narrating their biography,NR (mean 120 minutes),Once or twice weekly,terminated at therapist's discretion,Individual,In Person,NET,Psychotherapy,,,8.79,3.77,,Community,1,31.4,Germany,0.3125,Terrorism/political violence/forced displacement,NR,Some Concerns,Low,Low,Low,Low,Some Concerns,2,A vs B,2019,B,ps-ct,Self report,Mixed effects model,Follow-up,-0.24,0.367,A,B,2019,Neuner_2010_precalcfromVA_PDS_post_NA_self-report_NET_TAU_NA_NA,33877,neuner2010,,,,,,,3,14,0,16,Inf,Inf,Inf,Inf,"Neuner F, Kurreck S, Ruf M, et al. Can asylum-seekers with posttraumatic stress disorder be successfully treated? A randomized controlled pilot study. Cogn Behav Ther. 2010;39(2):81-91. doi: 10.1080/16506070903121042. PMID: 19816834."
"Power, 2002",EMDR,Waitlist,Eye Movement Desensitization and Reprocessing (EMDR) A,Waitlist,msd,SI-PTSD,completer,post,10,clinician,16.8,17.2,27,45.5,16.1,24,50.6,8.4,39,47.9,10,29,,,,,,1.692863156,0.328153164,Eye Movement Desensitization and Reprocessing (EMDR),Waitlist,EMDR,EMDR,EMDR,39,29,105,Trauma-focused,Patient's attention is directed to an external stimulus while they simultaneously concentrate on an identified source of emotional disturbance. External stimuli used included bilateral saccadic eye movements or alternating hand taps. When distress had sufficiently reduced on the part of the patient negative belief statements were replaced by preferred belief statements and saccadic eye movements or hand taps,90 minutes,Weekly,,Individual,In Person,EMDR,Psychotherapy,,,4.2,,,Community,1,39.2,U.K.,0.4167,Mixed,"accidents, rape/sexual assault, community/school violence, other (traumatic death, not specified)",Low,High,High,High,Low,High,1,A vs C,2019,C,ps-ps-ct,Structured Clinical Interview,"Factorial ANOVA and Scheffe's test for change in mean score, chi-square test for clinically meaningful response",Follow-up,1.693,0.33,A,C,2019,Power_2002_precalcfromVA_SI-PTSD_post_10.00_clinician_EMDR_Waitlist_EyeMovementDesensitizationandReprocessing(EMDR)A_Waitlist,25144,power2002,,,,,,,19,27,2,24,2.133508762950112,0.6884241971660094,3.262892710284975,0.8503447091632391,"Power K, McGoldrick T, Brown K, et al. A controlled comparison of Eye Movement Desensitization and Reprocessing versus exposure plus cognitive restructuring versus waiting list in the treatment of post-traumatic stress disorder. Clin Psychol Psychother. 2002 Sep/Oct;9(5):299-318. doi: 10.1002/cpp.341."
"Power, 2002",TF-CBT,Waitlist,Trauma-focused cognitive behavioral therapy (TF-CBT) B,Waitlist,msd,SI-PTSD,completer,post,10,clinician,25.9,17.9,21,45.5,16.1,24,46.6,9.9,37,47.9,10,29,,,,,,1.135319492,0.3226816386,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,37,29,105,Trauma-focused,"Imaginal exposure sessions which were audio-taped. Therapists facilitated this process by prompting, questioning and encouraging. Patients were provided with audio-tape copies and asked to listen to the recording at least once per day as homework.",90 minutes,Weekly,,Individual,In Person,TF-CBT,Psychotherapy,,,6.4,,,Community,1,39.2,U.K.,0.4167,Mixed,"accidents, rape/sexual assault, community/school violence, other (traumatic death, not specified)",Low,High,High,High,Low,High,1,B vs C,2019,C,ps-ps-ct,Structured Clinical Interview,"Factorial ANOVA and Scheffe's test for change in mean score, chi-square test for clinically meaningful response",Follow-up,1.135,0.324,B,C,2019,Power_2002_precalcfromVA_SI-PTSD_post_10.00_clinician_TF-CBT_Waitlist_Trauma-focusedcognitivebehavioraltherapy(TF-CBT)B_Waitlist,25144,power2002,,,,,,,9,21,2,24,1.637608789400797,0.7223748312513365,2.110213200346589,0.8601738137719549,"Power K, McGoldrick T, Brown K, et al. A controlled comparison of Eye Movement Desensitization and Reprocessing versus exposure plus cognitive restructuring versus waiting list in the treatment of post-traumatic stress disorder. Clin Psychol Psychother. 2002 Sep/Oct;9(5):299-318. doi: 10.1002/cpp.341."
"Raabe, 2022",Other non-trauma-focused,Waitlist,Skills Training in Affect and Interpersonal Regulation (STAIR) A,Waitlist,msd,CAPS,itt,post,8,clinician,64.1,26.49,19,63.7,24.22,20,75.6,14.6,20,70.5,19,20,,,,,,-0.01545723653,0.3203666198,Skills Training in Affect and Interpersonal Regulation (STAIR),Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,20,20,61,Non-Trauma-focused,"Treatment followed STAIR manual; first 4 sessions focused on emotion regulation; last 4 sessions on trauma-related interpersonal schemas, maladaptive schemas, assertiveness, flexibility, and comnpassion. Each session includes psychoeducation, skill demonstration and practice, and homework exercises.",60 minutes,Weekly,8 sessions,Individual,In Person,Other non-trauma-focused,Psychotherapy,,,,,,Community,1,35.9,The Netherlands,0.8852,Mixed,Child physical abuse; Child sexual abuse,Low,Low,Low,High,Low,High,1,A vs C,2023,C,ps-ps-ct,Structured Clinical Interview,"Linear mixed models; Cohen's d effect size, and effect size r estimated in mixed regression analysis, r = t / √(t2 + df)",Follow-up,-0.015,0.32,A,C,2023,Raabe_2022_precalcfromVA_CAPS_post_8.00_clinician_Othernon-trauma-focused_Waitlist_SkillsTraininginAffectandInterpersonalRegulation(STAIR)A_Waitlist,1600567,raabe2022,,,,,,,3,19,2,20,0.4567584024957148,0.8548109465758875,0.5232481437645479,0.9753916592266354,"Raabe S, Ehring T, Marquenie L, et al. Imagery rescripting as a stand-alone treatment for posttraumatic stress disorder related to childhood abuse: a randomized controlled trial. J Behav Ther Exp Psychiatry. 2022;77:101769. doi: 10.1016/j.jbtep.2022.101769. PMID: 36113906."
"Raabe, 2022",Other non-trauma-focused,Waitlist,Skills Training in Affect and Interpersonal Regulation (STAIR) A,Waitlist,msd,PDS,itt,post,8,self-report,32.7,15.71,19,31.2,11.08,19,40.6,9.06,20,36.4,10.21,20,,,,,,-0.108031301,0.3246896554,Skills Training in Affect and Interpersonal Regulation (STAIR),Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,20,20,61,Non-Trauma-focused,"Treatment followed STAIR manual; first 4 sessions focused on emotion regulation; last 4 sessions on trauma-related interpersonal schemas, maladaptive schemas, assertiveness, flexibility, and comnpassion. Each session includes psychoeducation, skill demonstration and practice, and homework exercises.",60 minutes,Weekly,8 sessions,Individual,In Person,Other non-trauma-focused,Psychotherapy,,,,,,Community,1,35.9,The Netherlands,0.8852,Mixed,Child physical abuse; Child sexual abuse,Low,Low,Low,High,Low,High,1,A vs C,2023,C,ps-ps-ct,Self report,"Linear mixed models; Cohen's d effect size, and effect size r estimated in mixed regression analysis, r = t / √(t2 + df)",Follow-up,-0.108,0.325,A,C,2023,Raabe_2022_precalcfromVA_PDS_post_8.00_self-report_Othernon-trauma-focused_Waitlist_SkillsTraininginAffectandInterpersonalRegulation(STAIR)A_Waitlist,1600567,raabe2022,,,,,,,4,19,2,19,0.6931471805599453,0.8029550685469663,0.8183103235139513,0.935676330831571,"Raabe S, Ehring T, Marquenie L, et al. Imagery rescripting as a stand-alone treatment for posttraumatic stress disorder related to childhood abuse: a randomized controlled trial. J Behav Ther Exp Psychiatry. 2022;77:101769. doi: 10.1016/j.jbtep.2022.101769. PMID: 36113906."
"Raabe, 2022",TF-Other,Waitlist,Imagery rescripting B,Waitlist,msd,CAPS,itt,post,8,clinician,45.6,32.03,17,63.7,24.22,20,78.2,14.6,21,70.5,19,20,,,,,,0.6310950621,0.3382983485,Imagery rescripting,Waitlist,TF-Other,TF-Other,TF-Other,21,20,61,Trauma-focused,"First session is used to compose list of traumatic situations and pilot imagery rescripting with non-traumatic material; sessions 2-16, imagery rescripting is applied to process trauma memories. ""procedure consists of 3 phases: in Phase 1, patients are asked to imagine a traumatic childhood experience as vividly as possible from the child's perspective, with their eyes closed. As soon as strong trauma-related emotions are triggered, therapist and patient move to the next phase. In Phase 2, patients enter the image as an adult who witnesses the situation, and are prompted to intervene and do whatever they think is necessary. This is followed by Phase 3, in which patients imagine the scene again as a child, and experience the adult's intervention developed in Phase 2 from the child's perspective. Patients can then ask for additional interventions until the child feels safe and is satisfied with the intervention.""",90 minutes,Twice a week,16 sessions,Individual,In Person,TF-Other,Psychotherapy,,,,,Mean 13 sessions but not reported separately for group A (received ImRs after STAIR) and group B (ImRs only) (stated as not significantly different between conditions),Community,1,35.9,The Netherlands,0.8852,Mixed,Child physical abuse; Child sexual abuse,Low,Low,Low,High,Low,High,1,B vs C,2023,C,ps-ps-ct,Structured Clinical Interview,"Linear mixed models; Cohen's d effect size, and effect size r estimated in mixed regression analysis, r = t / √(t2 + df)",Follow-up,0.631,0.339,B,C,2023,Raabe_2022_precalcfromVA_CAPS_post_8.00_clinician_TF-Other_Waitlist_ImageryrescriptingB_Waitlist,1600567,raabe2022,,,,,,,7,17,2,20,1.415281897993143,0.7307760350787224,1.840549633397487,0.8935394218570877,"Raabe S, Ehring T, Marquenie L, et al. Imagery rescripting as a stand-alone treatment for posttraumatic stress disorder related to childhood abuse: a randomized controlled trial. J Behav Ther Exp Psychiatry. 2022;77:101769. doi: 10.1016/j.jbtep.2022.101769. PMID: 36113906."
"Raabe, 2022",TF-Other,Waitlist,Imagery rescripting B,Waitlist,msd,PDS,itt,post,8,self-report,21.4,17.14,17,31.2,11.08,19,41,9.64,21,36.4,10.21,20,,,,,,0.6721376548,0.3435376644,Imagery rescripting,Waitlist,TF-Other,TF-Other,TF-Other,21,20,61,Trauma-focused,"First session is used to compose list of traumatic situations and pilot imagery rescripting with non-traumatic material; sessions 2-16, imagery rescripting is applied to process trauma memories. ""procedure consists of 3 phases: in Phase 1, patients are asked to imagine a traumatic childhood experience as vividly as possible from the child's perspective, with their eyes closed. As soon as strong trauma-related emotions are triggered, therapist and patient move to the next phase. In Phase 2, patients enter the image as an adult who witnesses the situation, and are prompted to intervene and do whatever they think is necessary. This is followed by Phase 3, in which patients imagine the scene again as a child, and experience the adult's intervention developed in Phase 2 from the child's perspective. Patients can then ask for additional interventions until the child feels safe and is satisfied with the intervention.""",90 minutes,Twice a week,16 sessions,Individual,In Person,TF-Other,Psychotherapy,,,,,Mean 13 sessions but not reported separately for group A (received ImRs after STAIR) and group B (ImRs only) (stated as not significantly different between conditions),Community,1,35.9,The Netherlands,0.8852,Mixed,Child physical abuse; Child sexual abuse,Low,Low,Low,High,Low,High,1,B vs C,2023,C,ps-ps-ct,Self report,"Linear mixed models; Cohen's d effect size, and effect size r estimated in mixed regression analysis, r = t / √(t2 + df)",Follow-up,0.672,0.344,B,C,2023,Raabe_2022_precalcfromVA_PDS_post_8.00_self-report_TF-Other_Waitlist_ImageryrescriptingB_Waitlist,1600567,raabe2022,,,,,,,8,17,2,19,1.497519996230115,0.7166204655470474,2.022283127839887,0.8915910724782274,"Raabe S, Ehring T, Marquenie L, et al. Imagery rescripting as a stand-alone treatment for posttraumatic stress disorder related to childhood abuse: a randomized controlled trial. J Behav Ther Exp Psychiatry. 2022;77:101769. doi: 10.1016/j.jbtep.2022.101769. PMID: 36113906."
